Generation,Identifier,Finish,Storage,Model
,,,64 GB,"MGAH2, MGAU2, MGC52, MGCR2"
,,,128 GB,"MGAC2, MGAP2, MGC22, MGCN2"
iPhone 6s,"iPhone8,1",Gold,16 GB,"MKQL2, MKQ72, MKR12, MKRE2, MKRW2, MKT92, ML7E2"
,,,32 GB,"MN0P2, MN172, MN1K2, MN1U2, MN1Y2, MN112"
,,,64 GB,"MKQC2, MKQQ2, MKR52, MKRJ2, MKT12, MKTE2, ML7J2"
,,,128 GB,"MKQG2, MKQV2, MKR92, MKRP2, MKT52, MKTJ2, ML7N2"
,,Rose Gold,16 GB,"MKQM2, MKQ82, MKRF2, MKRX2, MKR22, MKTA2, ML7F2"
,,,32 GB,"MN0V2, MN192, MN1L2, MN1V2, MN202, MN122"
,,,64 GB,"MKQD2, MKQR2, MKR62, MKRK2, MKT22, MKTF2, ML7K2"
,,,128 GB,"MKQH2, MKQW2, MKRA2, MKRQ2, MKT62, MKTK2, ML7P2"
,,Silver,16 GB,"MKQ62, MKQK2, MKQY2, MKRD2, MKRT2, MKT82, ML7D2, NKQJ2"
,,,32 GB,"MN0N2, MN162, MN1G2, MN1Q2, MN1X2, MN0X2"
,,,64 GB,"MKQA2, MKQP2, MKR42, MKRH2, MKT02, MKTD2, ML7H2"
,,,128 GB,"MKQF2, MKQU2, MKR82, MKRM2, MKT42, MKTH2, ML7M2"
,,Space Gray,16 GB,"MKQ52, MKQJ2, MKQX2, MKRC2, MKRR2, MKT72, ML7C2"
,,,32 GB,"MN0M2, MN132, MN1E2, MN1M2, MN1W2, MN0W2"
,,,64 GB,"MKQN2, MKQ92, MKR32, MKRG2, MKRY2, MKTC2, ML7G2"
,,,128 GB,"MKQE2, MKQT2, MKR72, MKRL2, MKT32, MKTG2, ML7L2"
iPhone 6s Plus,"iPhone8,2",Gold,16 GB,"MKTN2, MKU32, MKUN2, MKV62, MKVQ2, MKW72, ML6D2"
,,,32 GB,MN2X2
,,,64 GB,"MKTT2, MKU82, MKUV2, MKVD2, MKVX2, MKWD2, ML6H2"
,,,128 GB,"MKTX2, MKUF2, MKV12, MKVH2, MKW22, MKWH2, ML6M2"
,,Rose Gold,16 GB,"MKU52, ML6E2, MKTP2, MKUP2, MKV72, MKVU2, MKW82"
,,,32 GB,MN2Y2
,,,64 GB,"MKU92, ML6J2, MKTU2, MKUW2, MKVE2, MKVY2, MKWE2"
,,,128 GB,"MKUG2, MKV22, ML6N2, MKVJ2, MKTY2"
,,Silver,16 GB,"MKTM2, MKU22, MKUJ2, MKV52, MKVP2, MKW62, ML6C2"
,,,64 GB,"MKTR2, MKU72, MKUU2, MKV92, MKVW2, MKWC2, ML6G2"
,,,128 GB,"MKTW2, MKUE2, MKUY2, MKVG2, MKW12, MKWG2, ML6L2"
,,Space Gray,16 GB,"MKU12, ML6A2, MKV32, MKTL2, MKUH2, MKVN2, MKW52"
,,,32 GB,MN2V2
,,,64 GB,"MKU62, ML6F2, MKTQ2, MKUQ2, MKV82, MKVV2, MKW92, ML642"
,,,128 GB,"MKUD2, ML6K2, MKTV2, MKUX2, MKVF2, MKW02, MKWF2"
iPhone SE (1st generation),"iPhone8,4",Gold,16 GB,"MLXH2, MLXW2, MLY12, MLY52, MLY92, MLXM2"
,,,32 GB,"MP8D2, MP8R2, MP8H2, MP8M2, MP7V2, MP842"
,,,64 GB,"MLXK2, MLXY2, MLY32, MLY72, MLYC2, MLXP2"
,,,128 GB,"MP952, MP9J2, MP992, MP9E2, MP802, MP882"
,,Rose Gold,16 GB,"MLXJ2, MLXX2, MLY22, MLY62, MLYA2, MLXN2"
,,,32 GB,"MP8E2, MP8T2, MP8J2, MP8N2, MP7W2, MP852"
,,,64 GB,"MLXL2, MLY02, MLY42, MLY82, MLYD2, MLXQ2"
,,,128 GB,"MP962, MP9K2, MP9A2, MP9F2, MP812, MP892"
,,Silver,16 GB,"MLLM2, MLLV2, MLLX2, MLM02, MLM32, MLLP2"
,,,32 GB,"MP8C2, MP8Q2, MP8G2, MP8L2, MP7U2, MP832"
,,,64 GB,"MLM52, MLMC2, MLME2, MLMG2, MLMJ2, MLM72"
,,,128 GB,"MP942, MP9H2, MP982, MP9D2, MP7Y2, MP872"
,,Space Gray,16 GB,"MLLL2, MLLU2, MLLW2, MLLY2, MLM22, MLLN2"
,,,32 GB,"MP8A2, MP8P2, MP8F2, MP8K2, MP7T2, MP822"
,,,64 GB,"MLM42, MLM62, MLMA2, MLMD2, MLMF2, MLMH2"
,,,128 GB,"MP932, MP9G2, MP972, MP9C2, MP7X2, MP862"
iPhone 7,"iPhone9,1",Black,32 GB,"MN8G2, MNAC2, MNAY2, MNCE2, MNGQ2"
,,,128 GB,"MN8L2, MNAJ2, MNC32, MNCK2, MNGX2"
,,,256 GB,"MN8R2, MNAQ2, MNC82, MNCQ2"
,,Gold,32 GB,"MN8J2, MNAE2, MNC12, MNCG2"
,,,128 GB,"MN8N2, MNAL2, MNC52, MNCM2, MNH02"
,,,256 GB,"MN8U2, MNAV2, MNCA2, MNCT2, MN992"
,,Jet Black,128 GB,"MN8Q2, MNAP2, MNC72, MNCP2"
,,,256 GB,"MN8W2, MNAX2, MNCD2, MNCV2"
,,PRODUCT(RED),128 GB,"MPRV2, MPRT2, MPRH2, MPRL2"
,,,256 GB,"MPRW2, MPRU2, MPRJ2, MPRM2"
,,Rose Gold,32 GB,"MN8K2, MNAF2, MNC22, MNCJ2"
,,,128 GB,"MN8P2, MNAM2, MNC62, MNH12, MNCN2"
,,,256 GB,"MN8V2, MNAW2, MNCC2, MNCU2, MN9A2"
,,Silver,32 GB,"MN8H2, MNAD2, MNC02, MNCF2, MN8Y2"
,,,128 GB,"MN8M2, MNAK2, MNC42, MNCL2,a MN932"
,,,256 GB,"MN8T2, MNAU2, MNC92, MNCR2, MN982"
,"iPhone9,3",Black,32 GB,"MN9D2, MN9U2, MN8X2"
,,,128 GB,"MN9H2, MN9Y2, MN922"
,,,256 GB,"MN9N2, MNA62, MN972"
,,Gold,32 GB,"MN9F2, MN9W2, MN902"
,,,128 GB,"MN9K2, MNA32, MN942"
,,,256 GB,"MN9Q2, MNA82"
,,Jet Black,32 GB,"MQTR2, MQTX2"
,,,128 GB,"MN9M2, MNA52, MN962"
,,,256 GB,"MN9T2, MNAA2, MN9C2"
,,PRODUCT(RED),128 GB,"MPRN2, MPRQ2"
,,,256 GB,"MPRP2, MPRR2"
,,Rose Gold,32 GB,"MN9G2, MN9X2, MN912"
,,,128 GB,"MN9L2, MNA42, MN952"
,,,256 GB,"MN9R2, MNA92"
,,Silver,32 GB,"MN9E2, MN9V2"
,,,128 GB,"MN9J2, MNA02"
,,,256 GB,"MN9P2, MNA72"
iPhone 7 Plus,"iPhone9,2",Black,32 GB,"MNQH2, MNR12, MNR52, MNR92, MNRJ2"
,,,128 GB,"MN482, MN5T2, MN642, MN6F2, MNFP2"
,,,256 GB,"MN4E2, MN5Y2, MN692, MN6L2, MNFV2"
,,Gold,32 GB,"MNQK2, MNR32, MNR72, MNRC2, MNRL2"
,,,128 GB,"MN4A2, MN5V2, MN662, MN6H2, MNFR2"
,,,256 GB,"MN4J2, MN612, MN6C2, MN6N2"
,,Jet Black,32GB,MQU22
,,,128 GB,"MN4D2, MN5X2, MN682, MN6K2"
,,,256 GB,"MN4L2, MN632, MN6E2, MN6Q2"
,,PRODUCT(RED),128 GB,"MPR12, MPR02, MPQV2, MPQW2"
,,,256 GB,"MPRA2, MPR92, MPR52, MPR62"
,,Rose Gold,32 GB,"MNQL2, MNR42, MNR82, MNRD2, MNRM2"
,,,128 GB,"MN4C2, MN5W2, MN672, MN6J2, MNFT2"
,,,256 GB,"MN4K2, MN622, MN6D2, MN6P2, MNFY2"
,,Silver,32 GB,"MNQJ2, MNR22, MNR62, MNRA2, MNRK2"
,,,128 GB,"MN492, MN5U2, MN652, MN6G2, MNFQ2"
,,,256 GB,"MN4F2, MN602, MN6A2, MN6M2"
,"iPhone9,4",Black,32 GB,"MNQR2, MNQW2, MNQM2"
,,,128 GB,"MN522, MN5G2, MN4M2"
,,,256 GB,"MN592, MN5M2, MN4W2"
,,Gold,32 GB,"MNQU2, MNQY2, MNQP2"
,,,128 GB,"MN552, MN5J2, MN4Q2"
,,,256 GB,"MN5D2, MN5P2, MN4Y2"
,,Jet Black,128 GB,"MN572, MN5L2, MN4V2"
,,,256 GB,"MN5F2, MN5R2, MN512"
,,PRODUCT(RED),128 GB,"MPQW2, MPQY2"
,,,256 GB,"MPR72, MPR82"
,,Rose Gold,32 GB,"MNQV2, MNR02, MNQQ2"
,,,128 GB,"MN562, MN5K2, MN4U2"
,,,256 GB,"MN5E2, MN5Q2"
,,Silver,32 GB,"MNQT2, MNQX2, MNQN2"
,,,128 GB,"MN532, MN5H2, MN4P2"
,,,256 GB,"MN5C2, MN5N2, MN4X2, MN502"
iPhone 8,"iPhone10,1",Gold,64 GB,"MQ6M2, MQ742, MQ772, MQ7A2"
,,,256 GB,"MQ7H2, MQ802, MQ832, MQ862"
,,Silver,64 GB,"MQ6L2, MQ732, MQ762, MQ792"
,,,256 GB,"MQ7G2, MQ7Y2, MQ822, MQ852"
,,Space Gray,64 GB,"MQ6K2, MQ722, MQ752, MQ782"
,,,128 GB,MX132
,,,256 GB,"MQ7F2, MQ7X2, MQ812, MQ842"
,,PRODUCT(RED),64 GB,"MRRK2, MRRR2, MRRT2"
,,,256 GB,"MRRL2, MRRW2, MRRX2"
,"iPhone10,4",Gold,64 GB,"MQ6J2, MQ6X2, MQ712"
,,,256 GB,"MQ7E2, MQ7T2, MQ7W2"
,,Silver,64 GB,"MQ6H2, MQ6W2, MQ702"
,,,256 GB,"MQ7D2, MQ7R2, MQ7V2"
,,Space Gray,64 GB,"MQ6G2, MQ6V2, MQ6Y2"
,,,256 GB,"MQ7C2, MQ7Q2, MQ7U2"
,,PRODUCT(RED),64 GB,"MRRM2, MRRP2, MRRQ2"
,,,256 GB,"MRRN2, MRRU2, MRRV2"
iPhone 8 Plus,"iPhone10,2",Gold,64 GB,"MQ8F2, MQ9F2, MQ982, MQ9M2"
,,,256 GB,"MQ8J2, MQ9C2, MQ9J2, MQ9Q2"
,,Silver,64 GB,"MQ8E2, MQ9E2, MQ972, MQ9L2"
,,,256 GB,"MQ8H2, MQ9A2, MQ9H2, MQ9P2"
,,Space Gray,64 GB,"MQ8D2, MQ9D2, MQ962, MQ9K2"
,,,256 GB,"MQ8G2, MQ9G2, MQ992, MQ9N2"
,,PRODUCT(RED),64 GB,"MRTG2, MRTJ2, MRT72"
,,,256 GB,"MRTH2, MRTK2, MRT82"
,"iPhone10,5",Gold,64 GB,"MQ8N2, MQ8V2, MQ922"
,,,256 GB,"MQ8R2, MQ8Y2, MQ952"
,,Silver,64 GB,"MQ8M2, MQ8U2, MQ912"
,,,256 GB,"MQ8Q2, MQ8X2, MQ942"
,,Space Gray,64 GB,"MQ8L2, MQ8T2, MQ902"
,,,256 GB,"MQ8P2, MQ8W2, MQ932"
,,PRODUCT(RED),64 GB,"MRTC2, MRTE2, MRT92"
,,,256 GB,"MRTA2, MRTD2, MRTF2"
iPhone X,"iPhone10,3",Silver,64 GB,"MQCT2, MQCL2, MQAY2, MQA62"
,,,256 GB,"MQCW2, MQCP2, MQC22, MQA92"
,,Space Gray,64 GB,"MQCR2, MQCK2, MQAX2, MQA52"
,,,256 GB,"MQCV2, MQCN2, MQC12, MQA82"
,"iPhone10,6",Silver,64 GB,"MQAK2, MQAR2, MQAD2"
,,,256 GB,"MQAN2, MQAV2, MQAG2"
,,Space Gray,64 GB,"MQAJ2, MQAQ2, MQAC2"
,,,256 GB,"MQAM2, MQAU2, MQAF2"
iPhone XR,"iPhone11,8",Black,64 GB,"MT3K2, MT2E2, MT302, MT472"
,,,128 GB,"MT3T2, MT2L2, MT362, MT4G2"
,,,256 GB,"MT402, MT2T2, MT3D2, MT4R2"
,,Blue,64 GB,"MT3R2, MT2K2, MT352, MT4F2"
,,,128 GB,"MT3Y2, MT2R2, MT3C2, MT4Q2"
,,,256 GB,"MT462, MT2Y2, MT3J2, MT4Y2"
,,Coral,64 GB,"MT3Q2, MT2J2, MT342, MT4D2"
,,,128 GB,"MT3X2, MT2Q2, MT3A2, MT4N2"
,,,256 GB,"MT452, MT2X2, MT3H2, MT4X2"
,,PRODUCT(RED),64 GB,"MT3M2, MT2G2, MT322, MT492"
,,,128 GB,"MT3V2, MT2N2, MT382, MT4J2"
,,,256 GB,"MT422, MT2V2, MT3F2, MT4V2"
