Generation,Identifier,Finish,Storage,Model
,,,256 GB,MWC92
,,,512 GB,MWCF2
,,Midnight Green,64 GB,MWC62
,,,256 GB,MWCC2
,,,512 GB,MWCG2
,,Silver,64 GB,MWC32
,,,256 GB,MWC82
,,,512 GB,MWCE2
,,Space Gray,64 GB,MWC22
,,,256 GB,MWC72
,,,512 GB,MWCD
,,Gold,64 GB,MWDC2
,,,256 GB,MWDG2
,,,512 GB,MWDL2
,,Midnight Green,64 GB,MWDD2
,,,256 GB,MWDH2
,,,512 GB,MWDM2
,,Silver,64 GB,MWDA2
,,,256 GB,MWDF2
,,,512 GB,MWDK2
,,Space Gray,64 GB,MWD92
,,,256 GB,MWDE2
,,,512 GB,MWDJ2
iPhone 11 Pro Max,"iPhone12,5",Gold,64 GB,"MWFC2, MWG42, MWFQ2, MWGH2, MWH12"
,,,256 GB,"MWFG2, MWG82, MWFV2, MWGM2, MWH62"
,,,512 GB,"MWFL2, MWGD2, MWG02, MWGR2, MWHA2"
,,Midnight Green,64 GB,"MWFD2, MWG52, MWFR2, MWGJ2, MWH22"
,,,256 GB,"MWFH2, MWG92, MWFW2, MWGN2, MWH72"
,,,512 GB,"MWFM2, MWGE2, MWG12, MWGT2, MWHC2"
,,Silver,64 GB,"MWFA2, MWG32, MWFP2, MWGG2, MWH02"
,,,256 GB,"MWFF2, MWG72, MWFU2, MWGL2, MWH52"
,,,512 GB,"MWFK2, MWGC2, MWFY2, MWGQ2, MWH92"
,,Space Gray,64 GB,"MWF92, MWG22, MWFN2, MWGF2, MWGY2"
,,,256 GB,"MWFE2, MWG62, MWFT2, MWGK2, MWH42"
,,,512 GB,"MWFJ2, MWGA2, MWFX2, MWGP2, MWH82"
,,Gold,64 GB,MWHG2
,,,256 GB,MWHL2
,,,512 GB,MWHQ2
,,Midnight Green,64 GB,MWHH2
,,,256 GB,MWHM2
,,,512 GB,MWHR2
,,Silver,64 GB,MWHF2
,,,256 GB,MWHK2
,,,512 GB,MWHP2
,,Space Gray,64 GB,MWHD2
,,,256 GB,MWHJ2
,,,512 GB,MWHN2
,,Gold,64 GB,MWEX2
,,,256 GB,MWF32
,,,512 GB,MWF72
,,Midnight Green,64 GB,MWF02
,,,256 GB,MWF42
,,,512 GB,MWF82
,,Silver,64 GB,MWEW2
,,,256 GB,MWF22
,,,512 GB,MWF62
,,Space Gray,64 GB,MWEV2
,,,256 GB,MWF12
,,,512 GB,MWF52
iPhone SE (2nd generation),"iPhone12,8",White,64 GB,"MX9T2, MX9A2, MX9H2, MX9E2, MX9L2, MX9P2, MXAN2, MHGQ3"
,,,128 GB,"MXD12, MXCJ2, MXCQ2, MXCM2, MXCU2, MXCX2, MXD72, MHGU3"
,,,256 GB,"MXVU2, MXVC2, MXVJ2, MXVF2, MXVM2, MXVQ2, MXW12, MHGX3"
,,Black,64 GB,"MX9R2, MX992, MX9G2, MX9D2, MX9K2, MX9N2, MXAM2, MHGP3"
,,,128 GB,"MXD02, MXCH2, MXCP2, MXCL2, MXCT2, MXCW2, MXD62, MHGT3"
,,,256 GB,"MXVT2, MXVA2, MXVH2, MXVE2, MXVL2, MXVP2, MXW02, MHGW3"
,,PRODUCT(RED),64 GB,"MX9U2, MX9C2, MX9J2, MX9F2, MX9M2, MX9Q2, MXAP2, MHGR3"
,,,128 GB,"MXD22, MXCK2, MXCR2, MXCN2, MXCV2, MXCY2, MXD82, MHGV3"
,,,256 GB,"MXVV2, MXVD2, MXVK2, MXVG2, MXVN2, MXVR2, MXW22, MHGY3"
iPhone 12 mini,"iPhone13,1",White,64 GB,"MG803, MGDY3, MG613, MG7H3, MG713, MG6H3, MG8G3, MGA63"
,,,128 GB,"MG853, MGE43, MG8M3, MG663, MG7N3, MG763, MG6N3, MGDM3"
,,,256 GB,"MG8A3, MGEA3, MG6C3, MG7U3, MG7C3, MG6V3, MG8T3, MGDT3"
,,Black,64 GB,"MG7Y3, MGDX3, MG603, MG7G3, MG703, MG6G3, MG8F3, MGA03"
,,,128 GB,"MG843, MGE33, MG653, MG7M3, MG753, MG6M3, MG8L3, MGDJ3"
,,,256 GB,"MG893C, MGE93, MG8R3, MG6A3, MG7T3, MG7A3, MG6U3, MGDR3"
,,PRODUCT(RED),64 GB,"MG813, MGE03, MG623, MG7J3, MG723, MG6J3, MG8H3, MGAE3"
,,,128 GB,"MG863, MGE53, MG8N3, MG673, MG7P3, MG6P3, MG773, MGDN3"
,,,256 GB,"MG8C3, MGEC3, MG6D3, MG7V3, MG7D3, MG6W3, MG8U3, MGDU3"
,,Green,64 GB,"MG833, MGE23, MG8K3, MG643, MG7L3, MG743, MG6L3, MGAV3"
,,,128 GB,"MG883, MGE73, MG693, MG7R3, MG793, MG6T3, MG8Q3, MGDQ3"
,,,256 GB,"MG8E3, MGEE3, MG8W3, MG6F3, MG7X3, MG7F3, MG6Y3, MGDW3"
,,Blue,64 GB,"MG823, MGE13, MG8J3, MG633, MG7K3, MG733, MG6K3, MGAP3"
,,,128 GB,"MG873, MGE63, MG683, MG7Q3, MG783, MG6Q3, MG8P3, MGDP3"
,,,256 GB,"MG8D3, MGED3, MG6E3, MG7W3, MG7E3, MG6X3, MG8V3, MGDV3"
,,Purple,64 GB,"MJNL3, MJQ23, MJNY3, MJNT3, MJQ83, MJQF3, MJQ53, MJQC3"
,,,128 GB,"MJQ93, MJNN3, MJQ33, MJQ03, MJNW3, MJQG3, MJQ63, MJQD3"
,,,256 GB,"MJNR3, MJQ43, MJQ13, MJNX3, MJQA3, MJQH3, MJQ73, MJQE3"
iPhone 12,"iPhone13,2",White,64 GB,"MGGN3, MGJ63, MGEG3, MGG63, MGFM3, MGF53, MGH73, MGHP3"
,,,128 GB,"MGGV3, MGJC3, MGHD3, MGET3, MGGC3, MGFT3, MGFA3, MGHV3"
,,,256 GB,"MGH23, MGJH3, MGF03, MGGH3, MGG13, MGFG3, MGHJ3, MGJ13"
,,Black,64 GB,"MGGM3, MGJ53, MGEF3, MGG53, MGFL3, MGF43, MGH63, MGHN3"
,,,128 GB,"MGGU3, MGJA3, MGHC3, MGER3, MGGA3, MGFR3, MGF93, MGHU3"
,,,256 GB,"MGH13, MGJG3, MGHH3, MGEX3, MGGG3, MGG03, MGFF3, MGJ03"
,,PRODUCT(RED),64 GB,"MGGP3, MGJ73, MGEH3, MGG73, MGFN3, MGF63, MGH83, MGHQ3"
,,,128 GB,"MGGW3, MGJD3, MGHE3, MGEU3, MGGD3, MGFW3, MGFC3, MGHW3"
,,,256 GB,"MGH33, MGJJ3, MGF13, MGGJ3, MGG23, MGFH3, MGHK3, MGJ23"
,,Green,64 GB,"MGGT3, MGJ93, MGEQ3, MGG93, MGFQ3, MGF83, MGHA3, MGHT3"
,,,128 GB,"MGGY3, MGJF3, MGHG3, MGEW3, MGGF3, MGFY3, MGFE3, MGHY3"
,,,256 GB,"MGH53, MGJL3, MGHM3, MGF33, MGGL3, MGG43, MGFK3, MGJ43"
,,Blue,64 GB,"MGGQ3, MGJ83, MGH93, MGEK3, MGG83, MGFP3, MGF73, MGHR3"
,,,128 GB,"MGGX3, MGJE3, MGEV3, MGGE3, MGFX3, MGFD3, MGHF3, MGHX3"
,,,256 GB,"MGH43, MGJK3, MGF23, MGGK3, MGG33, MGFJ3, MGHL3, MGJ33"
,,Purple,64 GB,"MJMX3, MJN73, MJN43, MJN13, MJNE3, MJNM3, MJNA3, MJNH3"
,,,128 GB,"MJNF3, MJMY3, MJN83, MJN53, MJN23, MJNP3, MJNC3, MJNJ3"
,,,256 GB,"MJN03, MJN93, MJN63, MJN33, MJNG3, MJNQ3, MJND3, MJNK3"
iPhone 12 Pro,"iPhone13,3",Silver,128 GB,"MGLA3, MGML3, MGJN3, MGKW3, MGKH3, MGK23, MGLP3, MGM63"
,,,256 GB,"MGLF3, MGMQ3, MGLU3, MGJT3, MGL23, MGKM3, MGK63, MGMA3"
,,,512 GB,"MGLK3, MGMV3, MGJX3, MGL63, MGKR3, MGKC3, MGLY3, MGMG3"
,,Graphite,128 GB,"MGL93, MGMK3, MGJM3, MGKV3, MGKG3, MGK13, MGLN3, MGM53"
,,,256 GB,"MGLE3, MGMP3, MGLT3, MGJR3, MGKL3, MGK53, MGL03, MGM93"
,,,512 GB,"MGLJ3, MGMU3, MGLX3, MGJW3, MGL53, MGKQ3, MGKA3, MGMF3"
,,Gold,128 GB,"MGLC3, MGMM3, MGJP3, MGKX3, MGKJ3, MGK33, MGLQ3, MGM73"
,,,256 GB,"MGLG3, MGMR3, MGJU3, MGL33, MGKN3, MGK73, MGLV3, MGMC3"
,,,512 GB,"MGLL3, MGMW3, MGM23, MGJY3, MGL73, MGKT3, MGKE3, MGMH3"
,,Pacific Blue,128 GB,"MGLD3, MGMN3, MGJQ3, MGKY3, MGKK3, MGK43, MGLR3, MGM83"
,,,256 GB,"MGLH3, MGMT3, MGJV3, MGL43, MGKP3, MGK93, MGLW3, MGMD3"
,,,512 GB,"MGLM3, MGMX3, MGK03, MGL83, MGKU3, MGKF3, MGM43, MGMJ3"
iPhone 12 Pro Max,"iPhone13,4",Silver,128 GB,"MGC13, MGD83, MG8Y3, MGA93, MG9Q3, MG9C3, MGCG3, MGCV3"
,,,256 GB,"MGC53, MGDD3, MGCL3, MG933, MGAJ3, MG9V3, MG9G3, MGD03"
,,,512 GB,"MGCA3, MGDH3, MG973, MGAU3, MGA23, MG9L3, MGCQ3, MGD43"
,,Graphite,128 GB,"MGC03, MGD73, MG8X3, MGA73, MG9P3, MG9A3, MGCF3, MGCU3"
,,,256 GB,"MGC43, MGDC3, MGCK3, MG923, MGAH3, MG9U3, MG9F3, MGCY3"
,,,512 GB,"MGC93, MGDG3, MGCP3, MG963, MGAR3, MG9Y3, MG9K3, MGD33"
,,Gold,128 GB,"MGC23, MGD93, MG903, MGAA3, MG9R3, MG9D3, MGCH3, MGCW3"
,,,256 GB,"MGC63, MGDE3, MG943, MGAM3, MG9W3, MG9H3, MGCM3, MGD13"
,,,512 GB,"MGCC3, MGDK3, MGCR3, MG983, MGAW3, MGA33, MG9M3, MGD53"
,,Pacific Blue,128 GB,"MGC33, MGDA3, MGCJ3, MG913, MGAF3, MG9T3, MG9E3, MGCX3"
,,,256 GB,"MGC73, MGDF3, MG953, MGAQ3, MG9X3, MG9J3, MGCN3, MGD23"
,,,512 GB,"MGCE3, MGDL3, MG993, MGAX3, MGA43, MG9N3, MGCT3, MGD63"
iPhone 13 mini,"iPhone14,4",PRODUCT(RED),128 GB,"MLK33, MLHQ3, MLDF3, MLJG3"
,,,256 GB,"MLK83, MLHW3, MLDL3, MLJM3"
,,,512 GB,"MLKE3, MLJ23, MLDR3, MLJW3"
,,Starlight,128 GB,"MLK13, MLHN3, MLDD3, MLJE3"
,,,256 GB,"MLK63, MLHU3, MLDJ3, MLJK3"
,,,512 GB,"MLKC3, MLJ03, MLDP3, MLJR3"
,,Midnight,128 GB,"MLK03, MLHM3, MLDC3, MLJC3"
,,,256 GB,"MLK53, MLHT3, MLDH3, MLJJ3"
,,,512 GB,"MLKA3, MLHY3, MLDN3, MLJP3"
,,Blue,128 GB,"MLK43, MLHR3, MLDG3, MLJH3"
,,,256 GB,"MLK93, MLHX3, MLDM3, MLJN3"
,,,512 GB,"MLKF3, MLJ33, MLDT3, MLJY3"
,,Pink,128 GB,"MLK23, MLHP3, MLDE3, MLJF3"
,,,256 GB,"MLK73, MLHV3, MLDK3, MLJL3"
,,,512 GB,"MLKD3, MLJ13, MLDQ3, MLJU3"
,,Green,128 GB,"MNF83, MNF53, MNFF3, MNFC3"
,,,256 GB,"MNF93, MNF63, MNFG3, MNFD3"
,,,512 GB,"MNFA3, MNF73, MNFH3, MNFE3"
iPhone 13,"iPhone14,5",PRODUCT(RED),128 GB,"MLPJ3, MLMQ3, MLDX3, MLNF3"
,,,256 GB,"MLQ93, MLN03, MLE33, MLNL3"
,,,512 GB,"MLQF3, MLN53, MLEA3, MLNR3"
,,Starlight,128 GB,"MLPG3, MLMM3, MLDV3, MLND3"
,,,256 GB,"MLQ73, MLMX3, MLE13, MLNJ3"
,,,512 GB,"MLQD3, MLN33, MLE73, MLNP3"
,,Midnight,128 GB,"MLPF3, MLML3, MLDU3, MLNC3"
,,,256 GB,"MLQ63, MLN23, MLE03, MLNH3"
,,,512 GB,"MLQC3, MLN23, MLE63, MLNN3"
,,Blue,128 GB,"MLPK3, MLMT3, MLDY3, MLNG3"
,,,256 GB,"MLQA3, MLN13, MLE43, MLNM3"
,,,512 GB,"MLQG3, MLN83, MLEC3, MLNT3"
,,Pink,128 GB,"MLPH3, MLMN3, MLDW3, MLNE3"
,,,256 GB,"MLQ83, MLMY3, MLE23, MLNK3"
,,,512 GB,"MLQE3, MLN43, MLE93, MLNQ3"
,,Green,128 GB,"MNGD3, MNG93, MNGK3, MNGG3"
,,,256 GB,"MNGE3, MNGA3, MNGL3, MNGH3"
,,,512 GB,"MNGF3, MNGC3, MNGM3, MNGJ3"
iPhone 13 Pro,"iPhone14,2",Graphite,128 GB,"MLV93, MLTP3, MLT53"
,,,256 GB,"MLVE3, MLTW3, MLT93"
,,,512 GB,"MLVH3, MLU13, MLTF3"
,,,1TB,"MLVV3, MLU93, MLTK3"
,,Gold,128 GB,"MLVC3, MLTR3, MLT73"
,,,256 GB,"MLVK3, MLTY3, MLTH3"
,,,512 GB,"MLVQ3, MLU43, MLTH3"
,,,1TB,"MLVY3, MLUC3, MLTM3"
,,Silver,128 GB,"MLVA3, MLTQ3, MLT63"
,,,256 GB,"MLVF3, MLTX3, MLTC3"
,,,512 GB,"MLVN3, MLU33, MLTG3"
,,,1TB,"MLVW3, MLUA3, MLTL3"
,,Sierra Blue,128 GB,"MLVD3, MLTT3, MLT83"
,,,256 GB,"MLVP3, MLU03, MLTE3"
,,,512 GB,"MLVU3, MLU73, MLTJ3"
,,,1TB,"MLW03, MLUD3, MLTN3"
,,Alpine Green,128 GB,"MNDT3, MNDN3, MNE23"
,,,256 GB,"MNDU3, MNDP3, MNE33"
,,,512 GB,"MNDV3, MNDQ3, MNE43"
,,,1 TB,"MNDW3, MNDR3, MNE53"
iPhone 13 Pro Max,"iPhone14,3",Graphite,128 GB,"MLL63, MLKL3, MLH43"
,,,256 GB,"MLLA3, MLKR3, MLH83"
,,,512 GB,"MLLF3, MLKW3, MLHD3"
,,,1TB,"MLLK3, MLL23, MLHH3"
,,Gold,128 GB,"MLL83, MLKN3, MLH63"
,,,256 GB,"MLLD3, MLKU3, MLHA3"
,,,512 GB,"MLLH3, MLKY3, MLHF3"
,,,1TB,"MLLM3, MLL43, MLHK3"
,,Silver,128 GB,"MLL73, MLKM3, MLH53"
,,,256 GB,"MLLC3, MLKT3, MLH93"
,,,512 GB,"MLLG3, MLKX3, MLHE3"
,,,1TB,"MLLL3, MLL33, MLHJ3"
,,Sierra Blue,128 GB,"MLL93, MLKP3, MLH73"
,,,256 GB,"MLLE3, MLKV3, MLHC3"
,,,512 GB,"MLLJ3, MLL03, MLHG3"
,,,1TB,"MLLN3, MLL53, MLHL3"
,,Alpine Green,128 GB,"MNCP3, MNCK3, MNCY3"
,,,256 GB,"MNCQ3, MNCL3, MND03"
,,,512 GB,"MNCR3, MNCM3, MND13"
,,,1 TB,"MNCT3, MNCN3, MND23"
iPhone SE (3rd generation),"iPhone14,6",Midnight,64 GB,"MMX53, MMWV3, MMXF3, MMYC3"
,,,128 GB,"MMX83, MMWY3, MMXJ3, MMYF3"
,,,256 GB,"MMXC3, MMX23, MMXM3, MMYJ3"
,,Starlight,64 GB,"MMX63, MMWW3, MMXG3, MMYD3"
,,,128 GB,"MMX93, MMX03, MMXK3, MMYG3"
,,,256 GB,"MMXD3, MMX33, MMXN3, MMYK3"
,,PRODUCT(RED),64 GB,"MMX73, MMWX3, MMXH3, MMYE3"
,,,128 GB,"MMXA3, MMX13, MMXL3, MMYH3"
,,,256 GB,"MMXE3, MMX43, MMXP3, MMYL3"
iPhone 14,"iPhone14,7",Blue,128 GB,"MPVN3, MPVH3, MPVG3, MPVJ3"
,,,256 GB,"MPWP3, MPWM3, MPWL3, MPWN3"
,,,512 GB,"MPXN3, MPXL3, MPXK3, MPXM3"
,,Midnight,128 GB,"MPUF3, MPUA3, MPU93, MPUD3V"
,,,256 GB,"MPVX3, MPVV3, MPVU3, MPVW3"
,,,512 GB,"MPWW3, MPWU3, MPWT3, MPWV3"
,,Starlight,128 GB,"MPUR3, MPUN3, MPUJ3, MPUQ3"
,,,256 GB,"MPW43, MPW23, MPW13, MPW33"
,,,512 GB,"MPX33, MPX13, MPX03, MPX23"
,,PRODUCT(RED),128 GB,"MPVA3, MPV73, MPV63, MPV93"
,,,256 GB,"MPWH3, MPWF3, MPWE3, MPWG3"
,,,512 GB,"MPXG3, MPXE3, MPXD3, MPXF3"
,,Purple,128 GB,"MPV03, MPUX3, MPUW3, MPUY3"
,,,256 GB,"MPWA3, MPW83, MPW73, MPW93"
,,,512 GB,"MPX93, MPX73, MPX63, MPX83"
iPhone 14 Plus,"iPhone14,8",Blue,128 GB,"MQ523, MQ3W3, MQ3A3, MQ4H3"
,,,256 GB,"MQ583, MQ423, MQ3G3, MQ4Q3"
,,,512 GB,"MQ5G3, MQ493, MQ3Q3, MQ4W3"
,,Midnight,128 GB,"MQ4X3, MQ3R3, MQ353, MQ4A3"
,,,256 GB,"MQ533, MQ3X3, MQ3C3, MQ4J3"
,,,512 GB,"MQ593, MQ433, MQ3H3, MQ4R3"
,,Starlight,128 GB,"MQ4Y3, MQ3T3, MQ363, MQ4D3"
,,,256 GB,"MQ553, MQ3Y3, MQ3D3, MQ4L3"
,,,512 GB,"MQ5D3, MQ443, MQ3J3, MQ4T3"
,,PRODUCT(RED),128 GB,"MQ513, MQ3V3, MQ393, MQ4F3"
,,,256 GB,"MQ573, MQ413, MQ3F3, MQ4P3"
,,,512 GB,"MQ5F3, MQ473, MQ3P3, MQ4V3"
,,Purple,128 GB,"MQ503, MQ3U3, MQ373, MQ4E3"
,,,256 GB,"MQ563, MQ403, MQ3E3, MQ4M3V"
,,,512 GB,"MQ5E3, MQ463, MQ3K3, MQ4U3"
iPhone 14 Pro,"iPhone15,2",Deep Purple,128 GB,"MQ0E3, MQ0G3, MQ0D3, MQ0F3"
,,,256 GB,"MQ1D3, MQ1F3, MQ1C3, MQ1E3"
,,,512 GB,"MQ273, MQ293, MQ263, MQ283"
,,,1 TB,"MQ303, MQ323, MQ2Y3, MQ313"
,,Gold,128 GB,"MQ063, MQ083, MQ053, MQ073"
,,,256 GB,"MQ163, MQ183, MQ143, MQ173"
,,,512 GB,"MQ213, MQ233, MQ203, MQ223"
,,,1 TB,"MQ2T3, MQ2V3, MQ2R3, MQ2U3"
,,Silver,128 GB,"MQ003, MQ023, MPXY3, MQ013"
,,,256 GB,"MQ0X3, MQ103, MQ0W3, MQ0Y3"
,,,512 GB,"MQ1U3, MQ1W3, MQ1R3, MQ1V3"
,,,1 TB,"MQ2L3, MQ2N3, MQ2K3, MQ2M3"
,,Space Black,128 GB,"MPXT3, MPXV3, MPXR3, MPXU3"
,,,256 GB,"MQ0N3, MQ0T3, MQ0M3, MQ0Q3"
,,,512 GB,"MQ1K3, MQ1M3, MQ1J3, MQ1L3"
,,,1 TB,"MQ2E3, MQ2G3, MQ2D3, MQ2F3"
iPhone 14 Pro Max,"iPhone15,3",Deep Purple,128 GB,"MQ9T3, MQ8R3, MQ863, MQ993"
,,,256 GB,"MQ9X3, MQ8W3, MQ8A3, MQ9E3"
,,,512 GB,"MQAM3, MQ913, MQ8G3, MQ9J3"
,,,1 TB,"MQC53, MQ953, MQ8M3, MQ9N3"
,,Gold,128 GB,"MQ9R3, MQ8Q3, MQ853, MQ983"
,,,256 GB,"MQ9W3, MQ8V3, MQ893, MQ9D3"
,,,512 GB,"MQAJ3, MQ903, MQ8F3, MQ9H3"
,,,1 TB,"MQC43, MQ943, MQ8L3, MQ9M3"
,,Silver,128 GB,"MQ9Q3, MQ8P3, MQ843, MQ973"
,,,256 GB,"MQ9V3, MQ8U3, MQ883, MQ9C3"
,,,512 GB,"MQAH3, MQ8Y3, MQ8E3, MQ9G3"
,,,1 TB,"MQC33, MQ933, MQ8J3, MQ9L3"
,,Space Black,128 GB,"MQ9P3, MQ8N3, MQ833, MQ963"
,,,256 GB,"MQ9U3, MQ8T3, MQ873, MQ9A3"
,,,512 GB,"MQAF3, MQ8X3, MQ8D3, MQ9F3"
,,,1 TB,"MQC23, MQ923, MQ8H3, MQ9K3"
